ndc_scenario,tariff_usd_per_twh,tariff_m_usd_per_twh,required_margin,threshold_usd_per_twh,financing_gap_per_mw,is_self_financing,npv_total_cost_usd,cumulative_unserved_twh,cumulative_emissions_tco2,solar_eaas_total_mw,solar_public_total_mw,eaas_subsidy_npv_usd,realised_subsidy_per_mw_usd,horizon_reliability,gas_shadow_avg_usd_per_twh_th,status
ndc3_unconditional,30000000,30.0,1.1,71177537.44333114,842323.2479098288,False,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,35000000,35.0,1.1,71177537.44333114,740043.7892281335,False,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,40000000,40.0,1.1,71177537.44333114,637764.3305464382,False,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,44000000,44.0,1.1,71177537.44333114,555940.7636010821,False,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,46000000,46.0,1.1,71177537.44333114,515028.9801284041,False,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,50000000,50.0,1.1,71177537.44333114,433205.4131830478,False,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,60000000,60.0,1.1,71177537.44333114,228646.49581965758,False,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,75000000,75.0,1.1,71177537.44333114,0.0,True,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,95000000,95.0,1.1,71177537.44333114,0.0,True,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_unconditional,110000000,110.0,1.1,71177537.44333114,0.0,True,572655878933.0764,82.69883501999999,12486073.336661,11377.32773,7254.00245,0.0,0.0,0.8879190520952494,204415814.2857143,optimal
ndc3_conditional,30000000,30.0,1.05,67942194.83227062,813100.5454293444,False,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,35000000,35.0,1.05,67942194.83227062,705950.6363342351,False,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,40000000,40.0,1.05,67942194.83227062,598800.7272391258,False,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,44000000,44.0,1.05,67942194.83227062,513080.7999630384,False,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,46000000,46.0,1.05,67942194.83227062,470220.8363249947,False,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,50000000,50.0,1.05,67942194.83227062,384500.9090489072,False,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,60000000,60.0,1.05,67942194.83227062,170201.0908586888,False,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,75000000,75.0,1.05,67942194.83227062,0.0,True,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,95000000,95.0,1.05,67942194.83227062,0.0,True,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
ndc3_conditional,110000000,110.0,1.05,67942194.83227062,0.0,True,623698262173.0359,88.53082441999999,10030805.86199,11377.32773,7254.00245,0.0,0.0,0.8800150120931819,204415814.2857143,optimal
