case,year,subsidy_per_mw_usd,carbon_shadow_usd_per_tco2,solar_eaas_add_mw
ndc3_unconditional_eaas,2044,0.0,3.7507215,790.72967
ndc3_unconditional_eaas,2045,0.0,84.047105,0.0
ndc3_conditional_eaas,2025,0.0,0.0,1000.0
ndc3_conditional_eaas,2026,0.0,21557.111,0.0
ndc3_conditional_eaas,2027,0.0,123.91194,0.0
ndc3_conditional_eaas,2028,0.0,106.61104,792.02
ndc3_conditional_eaas,2029,0.0,92.117622,808.90708
ndc3_conditional_eaas,2030,0.0,79.945172,0.0
ndc3_conditional_eaas,2031,0.0,68.14236,639.33291
ndc3_conditional_eaas,2032,0.0,58.340159,0.0
ndc3_conditional_eaas,2033,0.0,50.182924,678.08407
ndc3_conditional_eaas,2034,0.0,42.213576,698.62979
ndc3_conditional_eaas,2035,0.0,11.378334,719.99734
ndc3_conditional_eaas,2036,0.0,12.647876,0.0
ndc3_conditional_eaas,2037,0.0,8.7054197,0.0
ndc3_conditional_eaas,2038,0.0,7.7024535,0.0
ndc3_conditional_eaas,2039,0.0,4.8865873,0.0
ndc3_conditional_eaas,2040,0.0,6.1908175,675.91903
ndc3_conditional_eaas,2041,0.0,5.4690645,0.0
ndc3_conditional_eaas,2042,0.0,4.8273756,731.07403
ndc3_conditional_eaas,2043,0.0,4.2571585,760.31699
ndc3_conditional_eaas,2044,0.0,3.7507215,790.72967
ndc3_conditional_eaas,2045,0.0,84.047105,0.0
