initiative,instrument,jurisdiction,region,income_group,start_year,year,carbon_price
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2021,3.4723813730351525
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2021,19.792573826300373
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2021,19.43913500797358
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2021,6.489368467639466
Ireland carbon tax,Carbon tax,Ireland,Europe & Central Asia,High income,2010,2021,39.349100014197155
Japan carbon tax,Carbon tax,Japan,East Asia & Pacific,High income,2012,2021,2.6085386767758822
Kazakhstan ETS,ETS,Kazakhstan,Europe & Central Asia,Upper middle income,2013,2021,1.1767751653369107
Korea ETS,ETS,"Korea, Rep.",East Asia & Pacific,High income,2015,2021,15.89263641179587
Latvia carbon tax,Carbon tax,Latvia,Europe & Central Asia,High income,2004,2021,14.095200005085548
Liechtenstein carbon tax,Carbon tax,Liechtenstein,Europe & Central Asia,High income,2008,2021,101.47455208498495
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,2021,2021,40.12433601447685
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,2021,2021,40.12433601447685
Massachusetts ETS,ETS,Massachusetts,North America,High income,2018,2021,6.5
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,2.8902229368216728
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,2.8613207074534555
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,3.1111938888748245
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,3.006918806093392
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,3.0350708119075804
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,23.59300442424907
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,3.057613473005969
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,0.31460453841908
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,0.8760513423029606
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,0.7210062756563271
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2021,2.543820939334638
Mexico pilot ETS,ETS,Mexico,Latin America & Caribbean,Upper middle income,2020,2021,0.0
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,2021,35.23800001271387
New Brunswick carbon tax,Carbon tax,New Brunswick,North America,High income,2020,2021,31.834460803820136
New Zealand ETS,ETS,New Zealand,East Asia & Pacific,High income,2008,2021,25.75989
Newfoundland and Labrador carbon tax,Carbon tax,Newfoundland and Labrador,North America,High income,2019,2021,23.875845602865102
Newfoundland and Labrador PSS,ETS,Newfoundland and Labrador,North America,High income,2019,2021,23.875845602865102
Northwest Territories carbon tax,Carbon tax,Northwest Territories,North America,High income,2019,2021,23.875845602865102
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2021,80.3528487137679
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2021,17.478210888104257
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2021,80.3528487137679
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2021,64.86879611491044
Nova Scotia OBPS,ETS,Nova Scotia,North America,High income,2019,2021,19.657779546358935
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2021,0.07862432788880998
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2021,0.003144973115552399
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2021,0.07767109940607057
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2021,0.35596752864203723
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2021,15.35060388555361
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2021,27.81387335928989
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2021,25.980395243134936
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2021,27.07490515278522
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2021,28.05639929711027
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2021,31.036413633631025
Prince Edward Island Carbon tax,Carbon tax,Prince Edward Island,North America,High income,2019,2021,23.875845602865102
Quebec CaT,ETS,Quebec,North America,High income,2013,2021,17.94
RGGI,ETS,RGGI,North America,High income,2009,2021,8.69
Saitama ETS,ETS,Saitama,East Asia & Pacific,High income,2011,2021,5.415651232060655
Saskatchewan OBPS,ETS,Saskatchewan,North America,High income,2019,2021,31.834460803820136
Shanghai pilot ETS,ETS,Shanghai,East Asia & Pacific,Upper middle income,2013,2021,6.315244848890647
Shenzhen pilot ETS,ETS,Shenzhen,East Asia & Pacific,Upper middle income,2013,2021,1.1200048695863896
Singapore carbon tax,Carbon tax,Singapore,East Asia & Pacific,High income,2019,2021,3.7136066547831255
Slovenia Carbon tax,Carbon tax,Slovenia,Europe & Central Asia,High income,1996,2021,20.320580007331667
South Africa carbon tax,Carbon tax,South Africa,Sub-Saharan Africa,Upper middle income,2019,2021,9.150942751975306
Spain carbon tax,Carbon tax,Spain,Europe & Central Asia,High income,2014,2021,17.619000006356934
